id,character,prompt
1,Ariel,Generate a story of Ariel.
2,Astro Boy,Generate a story of Astro Boy.
3,Batman,Generate a story of Batman.
4,Black Panther,Generate a story of Black Panther.
5,Bulbasaur,Generate a story of Bulbasaur.
6,Buzz Lightyear,Generate a story of Buzz Lightyear.
7,Captain America,Generate a story of Captain America.
8,Chun-Li,Generate a story of Chun-Li.
9,Cinderella,Generate a story of Cinderella.
10,Cuphead,Generate a story of Cuphead.
11,Donald Duck,Generate a story of Donald Duck.
12,Doraemon,Generate a story of Doraemon.
13,Elsa,Generate a story of Elsa.
14,Goofy,Generate a story of Goofy.
15,Groot,Generate a story of Groot.
16,Hulk,Generate a story of Hulk.
17,Iron Man,Generate a story of Iron Man.
18,Judy Hopps,Generate a story of Judy Hopps.
19,Kirby,Generate a story of Kirby.
20,Kung Fu Panda,Generate a story of Kung Fu Panda.
21,Lightning McQueen,Generate a story of Lightning McQueen.
22,Link,Generate a story of Link.
23,Maleficent,Generate a story of Maleficent.
24,Mario,Generate a story of Mario.
25,Mickey Mouse,Generate a story of Mickey Mouse.
26,Mike Wazowski,Generate a story of Mike Wazowski.
27,Monkey D. Luffy,Generate a story of Monkey D. Luffy.
28,Mr. Incredible,Generate a story of Mr. Incredible.
29,Naruto,Generate a story of Naruto.
30,Nemo,Generate a story of Nemo.
31,Olaf,Generate a story of Olaf.
32,Pac-Man,Generate a story of Pac-Man.
33,Peter Pan,Generate a story of Peter Pan.
34,Piglet,Generate a story of Piglet.
35,Pikachu,Generate a story of Pikachu.
36,Princess Jasmine,Generate a story of Princess Jasmine.
37,Puss in Boots,Generate a story of Puss in Boots.
38,Rapunzel,Generate a story of Rapunzel.
39,Snow White,Generate a story of Snow White.
40,Sonic the Hedgehog,Generate a story of Sonic the Hedgehog.
41,Spider-Man,Generate a story of Spider-Man.
42,SpongeBob SquarePants,Generate a story of SpongeBob SquarePants.
43,Squirtle,Generate a story of Squirtle.
44,Thanos,Generate a story of Thanos.
45,Thor,Generate a story of Thor.
46,Tinker Bell,Generate a story of Tinker Bell.
47,WALL-E,Generate a story of WALL-E.
48,Winnie-the-Pooh,Generate a story of Winnie-the-Pooh.
49,Woody,Generate a story of Woody.
50,Yoda,Generate a story of Yoda.
